cal,d14c,d14csig,paper_ref,tree_ref
324,-6.3,2.5,2,1
325,-0.5,2.5,2,1
325,-0.9,1.7,2,1
326,-4,1.7,2,1
327,2,2.6,2,1
328,-2.9,2.5,2,1
328,-2.3,2.2,2,1
329,-2.3,2.2,2,1
330,2,2.2,2,1
330,-3.9,2.6,2,1
331,-0.3,2.2,2,1
332,-1.5,2.2,2,1
333,-4.2,2.5,2,1
334,-5.4,2.2,2,1
335,-0.8,2.2,2,1
335,-8.4,2.5,2,1
336,-1.3,2.5,2,1
337,-5.2,2.2,2,1
338,-1.4,2.5,2,1
339,-6.2,2.5,2,1
339,-6.6,2.5,2,1
340,-2.7,2.5,2,1
341,-3.1,2.1,2,1
342,0,2.5,2,1
342,-7.2,2.7,2,1
343,-4.8,2.6,2,1
344,-4.9,2.6,2,1
344,-2.6,2.5,2,1
344,-7,2.7,2,1
345,-2.6,2.6,2,1
345,-8.2,2.6,2,1
346,-3.6,2.5,2,1
346,-10.4,2.2,2,1
347,-4.3,2.5,2,1
348,-2,2.5,2,1
349,-3.2,2.6,2,1
349,-0.1,2.2,2,1
350,-0.5,2.2,2,1
350,2,2.2,2,1
351,-1,2.2,2,1
352,0.5,2.2,2,1
353,-1.5,2.5,2,1
354,-0.4,2.2,2,1
355,2.2,2.2,2,1
356,2.5,2.2,2,1
357,0.5,2.1,2,1
358,-0.4,2.6,2,1
359,3.7,2.2,2,1
360,4.5,2.3,2,1
361,3.7,2.2,2,1
362,1.1,2.2,2,1
363,1.3,2.2,2,1
364,2.5,2.2,2,1
365,3.7,2.5,2,1
366,0.8,2.2,2,1
367,4.1,2.1,2,1
368,3.1,2.2,2,1
369,-0.3,2.2,2,1
370,3.6,2.2,2,1
371,2.4,2.2,2,1
372,5.2,2.3,2,1
373,3.3,2.5,2,1
374,1.8,2.2,2,1
375,3.9,2.2,2,1
376,4,2.2,2,1
377,7.9,2.5,2,1
378,6.3,2.3,2,1
379,5.4,2.5,2,1
380,6.5,2.5,2,1
381,5.6,2.3,2,1
382,4.4,2.5,2,1
383,7.4,2.3,2,1
383,0.3,2.5,2,1
384,5.5,2.3,2,1
384,10.8,2.3,2,1
385,7,2.5,2,1
386,5.5,2.6,2,1
387,5.1,2.3,2,1
388,5.9,2.3,2,1
389,6.9,2.5,2,1
390,3.1,2.5,2,1
391,7.5,2.3,2,1
392,8.5,2.3,2,1
393,5.6,2.5,2,1
394,9.1,2.5,2,1
395,9.4,2.1,2,1
396,9.2,2.3,2,1
397,7.3,2.3,2,1
398,13.3,2.6,2,1
399,9.7,2.6,2,1
400,9,2.3,2,1
400,7.3,2.3,2,1
400,12.7,2.8,2,1
401,11.6,2.8,2,1
402,12.1,2.3,2,1
403,12.6,2.3,2,1
404,8.8,2.5,2,1
405,11,2.3,2,1
406,8.7,2.3,2,1
407,10.2,2.1,2,1
408,11.1,2.3,2,1
408,8.8,2.3,2,1
409,14.5,2.1,2,1
409,9.9,2.1,2,1
410,13.1,2.3,2,1
410,7.3,2.3,2,1
411,15,2.3,2,1
411,9.2,2.6,2,1
412,12.6,2.5,2,1
412,12.2,2.3,2,1
413,14.6,2.3,2,1
413,16.5,2.2,2,1
414,12.4,2.5,2,1
414,10.4,2.3,2,1
415,13.1,2.3,2,1
415,11.6,2.3,2,1
416,13.4,2.5,2,1
416,9,2.3,2,1
417,13.4,2.1,2,1
417,11,2.3,2,1
418,14.8,2.5,2,1
418,14.2,2.3,2,1
419,14.3,2.1,2,1
420,11.5,2.3,2,1
421,12.8,2.3,2,1
422,12.5,2.1,2,1
423,11.5,2.3,2,1
424,12.4,2.3,2,1
425,6,2.5,2,1
425,15,2.3,2,1
426,10,2.3,2,1
427,10.1,2.3,2,1
428,9.1,2.6,2,1
429,11,2.6,2,1
430,8.5,2.3,2,1
431,6.5,2.6,2,1
433,11.6,2.3,2,1
434,9.2,2.3,2,1
435,8.5,2.1,2,1
436,10,2.3,2,1
437,10.5,2.3,2,1
438,10,2.3,2,1
439,6.9,2.1,2,1
440,8.6,2.3,2,1
1490,-14.1,2.6,24,1
1491,-15,2.6,24,1
1492,-19,2.6,24,1
1493,-12.5,2.5,24,1
1494,-14.6,2.5,24,1
1495,-14.7,2.5,24,1
1496,-15.5,2.5,24,1
1497,-12.2,2.3,24,1
1498,-22.2,2.3,24,1
1499,-13.8,2.5,24,1
1500,-13.9,2.5,24,1
1501,-14.1,2.5,24,1
1502,-13,2.5,24,1
1503,-13.2,2.5,24,1
1504,-13.3,2.3,24,1
1505,-12.2,2.3,24,1
1506,-13.1,2.3,24,1
1507,-13.5,2.5,24,1
1508,-17.8,2.3,24,1
1509,-18.8,2.2,24,1
1510,-15.6,2.3,24,1
1511,-10.4,2.5,24,1
1512,-11.8,2.3,24,1
1513,-15.7,2.3,24,1
